UID,GUID,TSCSystemKey,ProjectId,Ethid,LangID,Type,ProjectName,TSCRptName,TitleName,WebProductList,SponsorBeginYr,CurrEndYr,ActiveFlag,ReqFundingFlag,MktAsClusterFlag,Region,WebCountry,TSCPopTotal,PrayerCommits,PrayerCommitNeed,PrayerCommitGoal,LifetimeGivingAndPledgeBal,LifetimeOpp,LifetimeTotalNeed
20795-,UID2079500000,20795,20795,NULL,NULL,Project,Abakwa Oral Cluster,NULL,Abakwa Oral Cluster,Bible Stories,2016,2018,Y,Y,Y,Africa,Cameroon,80700,2,8,10,66370.34,421021.5,487391.84
20795-19145,UID2079519145,2079501553,20795,19145,1553,Language,Abakwa Oral Cluster,Bambili,Abakwa Oral Cluster-Bambili,Bible Stories,2016,2018,Y,Y,N,Africa,Cameroon,10000,0,0,10,11061.72,70170.25,81231.97
20795-19146,UID2079519146,2079501554,20795,19146,1554,Language,Abakwa Oral Cluster,Mankon,Abakwa Oral Cluster-Mankon,Bible Stories,2016,2018,Y,Y,N,Africa,Cameroon,18800,0,0,10,11061.72,70170.25,81231.97
20795-19147,UID2079519147,2079501555,20795,19147,1555,Language,Abakwa Oral Cluster,Ngwo,Abakwa Oral Cluster-Ngwo,Bible Stories,2016,2018,Y,Y,N,Africa,Cameroon,22000,0,0,10,11061.73,70170.25,81231.98
20795-19148,UID2079519148,2079501556,20795,19148,1556,Language,Abakwa Oral Cluster,Isu,Abakwa Oral Cluster-Isu,Bible Stories,2016,2018,Y,Y,N,Africa,Cameroon,15400,0,0,10,11061.72,70170.25,81231.97
20795-19392,UID2079519392,2079501809,20795,19392,1809,Language,Abakwa Oral Cluster,Lus,Abakwa Oral Cluster-Lus,Bible Stories,2016,2018,Y,Y,N,Africa,Cameroon,9500,0,0,10,11061.73,70170.25,81231.98
20795-19393,UID2079519393,2079501810,20795,19393,1810,Language,Abakwa Oral Cluster,Adere,Abakwa Oral Cluster-Adere,Bible Stories,2016,2018,Y,Y,N,Africa,Cameroon,5000,0,0,10,11061.72,70170.25,81231.97
50136-,UID5013600000,50136,50136,NULL,NULL,Project,Ache 2,NULL,Ache 2,Old Testament Portions-not Genesis,2016,2018,Y,Y,N,Americas,Paraguay,1500,13,0,10,105750.5,42240.08,147990.58
50474-,UID5047400000,50474,50474,NULL,NULL,Project,Achi de Cubulco,NULL,Achi de Cubulco,Full Bible,2014,2018,Y,Y,N,Americas,Guatemala,48250,7,3,10,114251.4,13955.02,128206.42
70395-,UID7039500000,70395,70395,NULL,NULL,Project,Ailan Cluster,NULL,Ailan Cluster,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,Y,Pacific,Papua New Guinea,66900,21,49,70,101500.16,496216.73,597716.89
70395-19131,UID7039519131,7039501539,70395,19131,1539,Language,Ailan Cluster,Tigak,Ailan Cluster-Tigak,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Pacific,Papua New Guinea,17000,3,7,10,14500.03,70888.11,85388.14
70395-19291,UID7039519291,7039501701,70395,19291,1701,Language,Ailan Cluster,Kol,Ailan Cluster-Kol,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Pacific,Papua New Guinea,8000,3,7,10,14500.03,70888.11,85388.14
70395-19292,UID7039519292,7039501702,70395,19292,1702,Language,Ailan Cluster,Lote,Ailan Cluster-Lote,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Pacific,Papua New Guinea,7400,3,7,10,14500.03,70888.11,85388.14
70395-19293,UID7039519293,7039501703,70395,19293,1703,Language,Ailan Cluster,Mamusi,Ailan Cluster-Mamusi,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Pacific,Papua New Guinea,11000,3,7,10,14500.03,70888.11,85388.14
70395-19294,UID7039519294,7039501704,70395,19294,1704,Language,Ailan Cluster,Aighon,Ailan Cluster-Aighon,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Pacific,Papua New Guinea,2000,3,7,10,14500.02,70888.11,85388.13
70395-19297,UID7039519297,7039501707,70395,19297,1707,Language,Ailan Cluster,Lihir,Ailan Cluster-Lihir,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Pacific,Papua New Guinea,19000,3,7,10,14500.03,70888.11,85388.14
70395-19389,UID7039519389,7039501806,70395,19389,1806,Language,Ailan Cluster,Manseng,Ailan Cluster-Manseng,Jesus Film Old Testament Portions-not Genesis,2016,2019,Y,Y,N,Pacific,Papua New Guinea,2500,3,7,10,14499.99,70888.14,85388.13
26743-,UID2674300000,26743,26743,NULL,NULL,Project,Akaarakaa Cluster,NULL,Akaarakaa Cluster,A Gospel Genesis Jesus Film,2013,2017,Y,Y,Y,Africa,Togo,384400,65,0,40,259009.74,29108.52,288118.26
26743-18587,UID2674318587,2674300964,26743,18587,964,Language,Akaarakaa Cluster,Idaasha,Akaarakaa Cluster-Idaasha,A Gospel Genesis Jesus Film,2013,2017,Y,Y,N,Africa,Togo,101000,16,0,10,64643.43,7277.13,71920.56
